파일명,항목,결과,처리
"HTS_Hardware_Auto_Scaler.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Hardware_Shield.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_POST_Manager.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_POST_Manager.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Power_Manager.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Power_Manager.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Secure_Memory.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Secure_Memory.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Secure_Memory_Manager.hpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_ConstantTimeUtil.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_ConstantTimeUtil.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Crc32Util.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Crc32Util.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"lea.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_ARIA_Bridge.hpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_ARIA_Bridge.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_LEA_Bridge.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_LEA_Bridge.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_LSH256_Bridge.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_LSH256_Bridge.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_AES_Bridge.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_AES_Bridge.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_SHA256_Bridge.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_SHA256_Bridge.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_HMAC_Bridge.hpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_HMAC_Bridge.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_CTR_DRBG.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_CTR_DRBG.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_TRNG_Collector.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_TRNG_Collector.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Physical_Entropy_Engine.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Entropy_Monitor.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Entropy_Monitor.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Crypto_KAT.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Crypto_KAT.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Conditional_SelfTest.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Conditional_SelfTest.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Key_Provisioning.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Key_Provisioning.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Key_Rotator.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Key_Rotator.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Dynamic_Key_Rotator.hpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Dynamic_Key_Rotator.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_PUF_Adapter.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_PUF_Adapter.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Secure_Boot_Verify.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Secure_Boot_Verify.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Anchor_Vault.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Entropy_Arrow.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Anti_Debug.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Anti_Debug.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Anti_Glitch.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Anti_Glitch.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Tamper_HAL.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Tamper_HAL.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_AntiAnalysis_Shield.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Polymorphic_Shield.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Pointer_Auth.hpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Pointer_Auth.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Auto_Rollback_Manager.hpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Auto_Rollback_Manager.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Secure_Logger.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Secure_Logger.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Config.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Config.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Dynamic_Config.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Device_Profile.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Device_Profile.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Device_Status_Reporter.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Device_Status_Reporter.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Creator_Telemetry.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Gaussian_Pulse.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Gaussian_Pulse.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Rx_Matched_Filter.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Rx_Matched_Filter.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Rx_Sync_Detector.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Rx_Sync_Detector.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Antipodal_Core.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Adaptive_BPS_Controller.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Adaptive_BPS_Controller.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"AnchorEncoder.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"AnchorEncoder.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"AnchorDecoder.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"AnchorDecoder.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"AnchorManager.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"AnchorManager.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"TensorCodec.hpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"TensorCodec.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Orbital_Mapper.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Sparse_Recovery.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Holo_Tensor_Engine.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Holo_Tensor_Engine.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Holo_Tensor_4D.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Holo_Tensor_4D.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Dual_Tensor_16bit.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Dual_Tensor_16bit.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_FEC_HARQ.hpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_FEC_HARQ.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Tx_Scheduler.hpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Tx_Scheduler.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"BB1_Core_Engine.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS64_Native_ECCM_Core.hpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS64_Native_ECCM_Core.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Holo_Dispatcher.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Holo_Dispatcher.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_V400_Dispatcher.hpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_V400_Dispatcher.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_AEAD_Integrity.hpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Security_Pipeline.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Security_Session.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Security_Session.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Session_Gateway.hpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Session_Gateway.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Remote_Attestation.hpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Remote_Attestation.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Role_Auth.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Role_Auth.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Storage_Interface.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_IPC_Protocol.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_IPC_Protocol.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_IPC_Protocol_A55.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_IPC_Protocol_A55.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Network_Bridge.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Network_Bridge.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_KT_DSN_Adapter.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_KT_DSN_Adapter.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_CoAP_Engine.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_CoAP_Engine.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Mesh_Router.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Mesh_Router.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Mesh_Sync.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Mesh_Sync.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Neighbor_Discovery.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Neighbor_Discovery.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Universal_Adapter.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_AMI_Protocol.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_AMI_Protocol.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_OTA_AMI_Manager.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_OTA_AMI_Manager.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_OTA_Manager.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_OTA_Manager.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Meter_Data_Manager.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Meter_Data_Manager.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Modbus_Gateway.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Modbus_Gateway.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_BLE_NFC_Gateway.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_BLE_NFC_Gateway.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_IoT_Codec.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_IoT_Codec.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Sensor_Aggregator.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Sensor_Aggregator.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Sensor_Fusion.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Sensor_Fusion.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Gyro_Engine.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Location_Engine.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Location_Engine.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Emergency_Beacon.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Emergency_Beacon.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_CCTV_Security.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_CCTV_Security.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Priority_Scheduler.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Priority_Scheduler.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Unified_Scheduler.hpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Unified_Scheduler.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Console_Manager.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Console_Manager.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Universal_API.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_API.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_API.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
